CountyFIPS,PhotoCounts,,CountyFIPS,Contributors
5027,72,,5027,9
38011,113,,38011,34
36031,9393,,36031,826
35007,956,,35007,305
30089,1517,,30089,177
30031,2787,,30031,639
35037,563,,35037,175
38037,51,,38037,17
36111,4938,,36111,623
38079,64,,38079,24
46039,28,,46039,10
41007,4876,,41007,1240
46043,24,,46043,6
49025,10552,,49025,1720
46115,68,,46115,13
53021,749,,53021,183
49009,758,,49009,219
46137,8,,46137,6
53061,7218,,53061,1061
53051,317,,53051,107
5087,174,,5087,48
16057,472,,16057,115
53065,743,,53065,146
46117,144,,46117,23
53037,3453,,53037,664
16087,799,,16087,63
46071,1939,,46071,454
41037,1143,,41037,276
38025,119,,38025,25
46105,59,,46105,17
5109,132,,5109,47
38059,314,,38059,86
35059,461,,35059,135
35035,3591,,35035,716
36105,1196,,36105,247
38083,93,,38083,11
30057,1582,,30057,379
5013,45,,5013,9
5079,50,,5079,15
16069,388,,16069,134
30083,139,,30083,26
16043,1320,,16043,304
16067,134,,16067,39
34013,8641,,34013,701
36015,568,,36015,79
36061,145570,,36061,16427
40091,130,,40091,31
41019,3100,,41019,565
40115,391,,40115,78
40103,88,,40103,18
41061,616,,41061,151
46103,6425,,46103,1298
46035,244,,46035,96
46129,24,,46129,8
49043,4099,,49043,736
53077,2493,,53077,463
53019,681,,53019,94
40143,2100,,40143,431
46065,195,,46065,61
41025,1097,,41025,199
41067,2530,,41067,530
46109,529,,46109,36
46125,23,,46125,11
53047,2557,,53047,434
16015,1101,,16015,230
30073,121,,30073,39
16007,492,,16007,163
38039,85,,38039,12
5149,402,,5149,66
30079,33,,30079,17
36055,3252,,36055,514
36085,3881,,36085,704
5101,1608,,5101,206
36009,1566,,36009,168
30041,242,,30041,48
35025,173,,35025,47
38013,61,,38013,17
38087,181,,38087,38
36059,4965,,36059,853
38097,174,,38097,36
40053,151,,40053,21
40145,281,,40145,34
41003,797,,41003,209
41005,3800,,41005,893
46025,30,,46025,9
5113,269,,5113,80
5023,245,,5023,61
5115,534,,5115,98
30017,167,,30017,37
44001,642,,44001,130
40015,320,,40015,91
40099,368,,40099,108
49005,2210,,49005,372
46007,59,,46007,5
46079,101,,46079,19
53005,1320,,53005,266
53017,949,,53017,224
53063,3155,,53063,549
38067,94,,38067,38
5005,267,,5005,84
40135,182,,40135,56
16053,315,,16053,103
40129,218,,40129,18
40059,97,,40059,18
30033,63,,30033,24
40083,446,,40083,48
30035,5675,,30035,919
40029,22,,40029,7
16079,796,,16079,197
38061,137,,38061,27
5143,1340,,5143,255
46053,84,,46053,25
46073,27,,46073,9
40119,424,,40119,98
30069,54,,30069,16
40041,206,,40041,62
46031,24,,46031,11
40079,436,,40079,90
38007,863,,38007,163
36043,1193,,36043,231
16031,1026,,16031,140
22017,616,,22017,139
22013,38,,22013,22
22041,27,,22041,6
46063,210,,46063,36
22035,72,,22035,16
46111,10,,46111,6
46099,1175,,46099,239
46135,212,,46135,41
9001,11221,,9001,855
16009,137,,16009,40
34017,19362,,34017,4351
22011,82,,22011,22
40105,113,,40105,13
40109,4547,,40109,625
35055,2327,,35055,630
40009,377,,40009,85
36067,2925,,36067,425
46085,220,,46085,60
5111,80,,5111,18
22005,375,,22005,85
5001,122,,5001,29
5017,198,,5017,28
22081,14,,22081,7
22057,635,,22057,88
34001,8775,,34001,844
30093,1143,,30093,178
22085,155,,22085,37
30055,168,,30055,40
38069,96,,38069,37
40149,74,,40149,25
49055,5775,,49055,818
34033,1022,,34033,115
44007,2908,,44007,588
34025,9380,,34025,853
35017,879,,35017,203
38027,4,,38027,4
5091,103,,5091,39
5025,26,,5025,9
9003,4673,,9003,606
5107,98,,5107,22
5015,692,,5015,159
40057,41,,40057,6
53011,2501,,53011,440
38019,68,,38019,16
16003,1526,,16003,108
22061,302,,22061,52
35043,2415,,35043,575
36021,980,,36021,193
22003,44,,22003,12
22119,54,,22119,14
49053,14948,,49053,2450
22037,77,,22037,18
41041,4987,,41041,1096
41035,8509,,41035,1261
40005,49,,40005,20
46051,1052,,46051,15
46123,32,,46123,13
40137,183,,40137,21
40085,129,,40085,51
36027,3561,,36027,524
38051,57,,38051,13
30063,1939,,30063,399
22089,202,,22089,79
34015,1682,,34015,185
30023,442,,30023,86
22059,72,,22059,13
22021,20,,22021,3
16047,552,,16047,88
41063,1369,,41063,306
46119,20,,46119,10
22043,43,,22043,19
46017,27,,46017,7
40071,269,,40071,54
49001,485,,49001,127
22075,592,,22075,150
40127,76,,40127,21
22025,57,,22025,15
34031,3237,,34031,404
5121,131,,5121,22
5049,171,,5049,45
40043,24,,40043,12
22067,19,,22067,7
16045,151,,16045,53
38049,83,,38049,18
22015,228,,22015,85
22065,59,,22065,29
22103,1333,,22103,295
30049,1081,,30049,310
22049,18,,22049,6
41057,3698,,41057,892
16049,1760,,16049,341
30087,163,,30087,57
40117,174,,40117,27
30051,116,,30051,19
49007,876,,49007,149
22115,131,,22115,23
34035,2396,,34035,288
40093,106,,40093,30
35039,1266,,35039,416
46101,41,,46101,12
5081,17,,5081,9
30047,1252,,30047,280
38003,190,,38003,34
35051,416,,35051,141
46091,38,,46091,14
30109,42,,30109,24
22123,12,,22123,6
22101,275,,22101,81
30011,109,,30011,35
34005,5469,,34005,389
30053,1157,,30053,224
22107,37,,22107,15
30075,40,,30075,25
30025,51,,30025,19
16083,1622,,16083,312
5009,130,,5009,44
5123,29,,5123,16
5075,220,,5075,33
5053,33,,5053,12
40081,273,,40081,63
22095,203,,22095,72
46087,124,,46087,31
5097,185,,5097,75
16081,509,,16081,122
22127,20,,22127,10
22071,11445,,22071,1896
53003,312,,53003,80
46005,33,,46005,21
44003,707,,44003,141
40077,78,,40077,27
36093,738,,36093,118
49023,1141,,49023,224
35027,852,,35027,265
36091,1808,,36091,298
36039,1681,,36039,285
36069,588,,36069,176
5021,76,,5021,17
5011,14,,5011,6
49021,1993,,49021,431
34027,5442,,34027,465
38029,51,,38029,14
16065,709,,16065,115
53009,6813,,53009,1300
16075,45,,16075,23
35019,337,,35019,126
49029,479,,49029,139
36025,849,,36025,195
41013,649,,41013,120
41029,2846,,41029,518
5003,31,,5003,13
9007,1859,,9007,305
